Halsted & 47th Street,41.809109,-87.645433,db,
Pulaski & Foster,41.97538338,-87.72810981,db,
Wentworth & 71st Street,41.765295,-87.62969,db,
Pulaski & Harrison (Blue Line),41.87337304,-87.7253129,db,
18th Street & Racine,41.857894,-87.656531,db,
93rd Street & Jeffery,41.72605615,-87.57559134,db,
Irving Park & Clarendon,41.95451091,-87.64940981,db,
119th Street & Halsted,41.67774285,-87.64214226,db,
Irving Park & Kimball,41.95396828,-87.71279203,db,
California & Foster,41.97602576,-87.69884183,db,
Montrose & Long,41.96063576,-87.76215122,db,
Diversey & Kedzie,41.93211818,-87.70730498,db,
87th Street & Dobson,41.736782,-87.598957,db,
Madison & Kostner,41.88072053,-87.73573853,db,
Devon & Sacramento,41.99753451,-87.70469739,db,
Madison & Laramie,41.88046755,-87.7553341,db,
69th Street & Halsted,41.76890717,-87.64437737,db,
Foster & Cicero,41.9752625,-87.74821962,db,
51st Street & State,41.80187226,-87.6261143,db,
Belmont & Menard,41.93845382,-87.77112736,db,
Polk & Wood,41.871467,-87.671593,db,
Diversey Brown Line Station,41.93257845,-87.65362119,db,
79th Street & Lawndale,41.74951728,-87.71461124,db,
Roosevelt & Clark,41.86723861,-87.63060611,db,
47th Street & Damen,41.80844666,-87.67483486,db,
Chicago & Homan,41.89543299,-87.71104249,db,
71st Street & Yates,41.7658,-87.566643,db,
Devon & Kedzie,41.9973267,-87.70904957,db,
Addison & Laramie,41.94590359,-87.7570356,db,
Division & Wells,41.90378504,-87.63465985,db,
Jackson & Keeler,41.876963,-87.7302,db,
87th Street & Halsted,41.73597648,-87.64313113,db,
Division & Wood,41.9031949,-87.67209195,db,
Lunt & Clark,42.008931,-87.67409148,db,
59th Street & California,41.78633562,-87.69374133,db,
69th Street & King Drive,41.76928055,-87.61548253,db,
Harrison & Oakley,41.873882,-87.683913,db,
Cicero & Lexington (Blue Line),41.871076,-87.744822,db,
Ewing & 106th Street,41.70298015,-87.53519336,db,
Damen & Argyle,41.972305,-87.67922,db,
Narragansett & Grand,41.92275816,-87.78532602,db,
Pulaski & 14th Street,41.8626889,-87.72497574,db,
Western & Hirsch,41.90681176,-87.68699223,db,
Damen & 87th Street Terminal,41.73623458,-87.67298324,db,
Chestnut & Mies Van Der Rohe,41.89846025,-87.62267307,db,
Foster & Jewel Prking Ent,41.97560011,-87.72934584,db,
Halsted & Erie,41.893451,-87.647744,db,
Northwest Hwy & Nagle,41.98593988,-87.78782075,db,
79th Street & Western,41.750001,-87.683067,db,
Lincoln & Cornelia,41.94483597,-87.67234956,db,
4200 S Wentworth,41.81805,-87.631253,db,
Wentworth & 27th Street,41.84413074,-87.63194196,db,
Wells & 52nd Street,41.800185,-87.632012,db,
31st Street & Morgan,41.83791346,-87.65117586,db,
47th Street & Rockwell,41.80842082,-87.68921338,db,
Belmont & Laramie,41.93877162,-87.75649627,db,
18th Street & Western,41.85732922,-87.68568274,db,
Damen & 63rd Street,41.77943582,-87.67399408,db,
Clark & Irving Park,41.95449734,-87.66243286,db,
Pulaski & Jackson,41.87717005,-87.72564233,db,
Halsted & 71st Street,41.765332,-87.644472,db,
Laramie & Augusta,41.898664,-87.755751,db,
63rd Street & 74th Avenue,41.77726123,-87.80566527,db,
111th Street & Spaulding,41.69159059,-87.70325722,db,
71st Street & Lawndale,41.76424748,-87.71490599,db,
Devon & Lakewood,41.99823889,-87.66292168,db,
75th Street & Eberhart,41.75851229,-87.6125518,db,
Belmont & Lakewood,41.93987483,-87.66123383,db,
Belmont & Kilbourn,41.93897901,-87.73939003,db,
74th Street & Parnell,41.75989204,-87.6384219,db,
63rd Street & Leamington,41.77831585,-87.75083652,db,
71st Street & Eberhart,41.76582986,-87.6129794,db,
103rd Street & Malta,41.70683019,-87.65698072,db,
Addison & Kostner,41.9463062,-87.7371856,db,
Belmont & Oriole (76th Avenue),41.93801371,-87.81638679,db,
103rd Street & Oakley,41.70643624,-87.67988454,db,
16th Street & Washtenaw,41.85930576,-87.69317542,db,
Jackson & Lotus,41.87661212,-87.76154549,db,
Lunt & Glenwood,42.00917098,-87.66612529,db,
71st Street & Springfield,41.764157,-87.719663,db,
16th Street & Springfield,41.85896155,-87.72229925,db,
Madison & Lamon,41.88057059,-87.7475185,db,
119th Street & Western,41.6771407,-87.68030669,db,
103rd Street & Charles,41.70680429,-87.65854774,db,
California & Berwyn,41.977569,-87.698904,db,
5200 S S Hyde Park,41.80084655,-87.58442446,db,
Racine & 61st Street,41.78316667,-87.65451257,db,
Dodge & Lee,42.03557743,-87.69908952,db,
Nagle & Haft,41.99514985,-87.78743096,db,
Pulaski Pink Line Station,41.85367978,-87.7246994,db,
Archer & 34th Street,41.83256542,-87.67391666,db,
Ashland & 66th Street,41.77411854,-87.66420062,db,
Skokie Blvd & Madison,42.031601,-87.747551,db,
Vincennes & Montvale,41.6882486,-87.66561518,db,
Kedzie & 56th Street,41.79178516,-87.7035844,db,
115th Street & Aberdeen,41.68493495,-87.64950931,db,
47th Street & Albany,41.80810095,-87.70156659,db,
Belmont & Seminary,41.93979981,-87.65665745,db,
Belmont & New England,41.93806,-87.79822,db,
1500 E 95th Street,41.722204,-87.587952,db,
4600 W Armitage,41.91692728,-87.74179864,db,
Armitage & Lawndale,41.91719359,-87.71932438,db,
47th Street & Oakley,41.80837501,-87.68210615,db,
Lawrence & Octavia,41.967098,-87.809603,db,
Pershing & Francisco,41.82267977,-87.69720914,db,
75th Street & Exchange,41.75928998,-87.55956205,db,
Jackson & Albany,41.877288,-87.703323,db,
Belmont & Knox,41.93880549,-87.74329322,db,
Diversey & Seminary,41.9325708,-87.65646692,db,
91st Street & Brandon,41.7300318,-87.54698928,db,
115th Street & Lawndale,41.68401992,-87.71292126,db,
Fillmore & Austin,41.86722455,-87.77406269,db,
Root & Princeton,41.818996,-87.633645,db,
Church & Maple,42.0484013,-87.68505817,db,
111th Street & Union,41.69232493,-87.64005435,db,
4700 W Old Orchard Rd,42.06231542,-87.74472966,db,
Harrison & Washtenaw,41.873755,-87.693779,db,
75th Street & Langley,41.75847934,-87.60793922,db,
16th Street & Rockwell,41.8592524,-87.6907968,db,
Addison & Overhill,41.945169,-87.819706,db,
87th Street & Escanaba,41.73728795,-87.55430104,db,
Peterson & Lincoln,41.99028092,-87.70749485,db,
Devon & Hoyne,41.99774722,-87.68267389,db,
Kedzie & 109th Street,41.695129,-87.700872,db,
California & Lunt,42.008364,-87.699695,db,
King Drive & 33rd Street,41.8349499,-87.61693354,db,
Kedzie & 107th Street,41.698785,-87.701005,db,
Oakton & Asbury,42.02682815,-87.69019555,db,
Peterson & Jersey,41.99047014,-87.71078294,db,
55th Street & Meade,41.79255037,-87.77438403,db,
87th Street & Longwood,41.73572283,-87.67587426,db,
63rd Street & Mayfield,41.77797235,-87.7688993,db,
Congress & Hamlin/Independence,41.87450949,-87.71961417,db,
